ANDRIJAŠEVCI	HR1910010051700112008
DUGOPOLJE	HR3110010051758512000
DVOR	HR5310010051710212006
ĐAKOVO	HR0510010051710312004
ĐELEKOVEC	HR7010010051710412005
ĐULOVAC	HR7610010051710512001
ĐURĐENOVAC	HR0610010051710612007
ĐURĐEVAC	HR7110010051710712008
ĐURMANEC	HR3910010051710812009
ERDUT	HR2410010051711012002
ERNESTINOVO	HR0810010051711112006
ERVENIK	HR2510010051711312005
FARKAŠEVAC	HR3110010051711412001
FAŽANA - FASANA	HR8710010051761912006
FERDINANDOVAC	HR5810010051711512007
FERIČANCI	HR2610010051711612008
FUNTANA - FONTANE	HR6410010051762912005
FUŽINE	HR9110010051711712009
GALOVAC	HR9010010051757112004
GARČIN	HR3810010051711812000
GAREŠNICA	HR4910010051711912003   
GENERALSKI STOL	HR1710010051712012004
GLINA	HR8210010051712112005
GOLA	HR8810010051712212001
GORIČAN	HR1810010051712312007
GORJANI	HR8310010051712412008
GORNJA RIJEKA	HR0610010051761812002
GORNJA STUBICA	HR5110010051712512009
GORNJA VRBA	HR6210010051756912009
GORNJI BOGIĆEVCI	HR0910010051712712003
GORNJI KNEGINEC	HR1510010051712912006
GORNJI MIHALJEVEC	HR0610010051760412001
GOSPIĆ	HR4810010051713012001
GRAČAC	HR7510010051713112007
GRAČIŠĆE	HR4310010051713212008
GRADAC	HR5510010051713412000
GRADEC	HR6610010051713512003
GRADINA	HR8810010051713612002
GRADIŠTE	HR7210010051713712006
GROŽNJAN-GRISIGNANA	HR2410010051713812004
GRUBIŠNO POLJE	HR8910010051713912005
GUNDINCI	HR0310010051714012008
GUNJA	HR6810010051714112009
GVOZD	HR3410010051751012003
HERCEGOVAC	HR4810010051714412002
HLEBINE	HR3210010051714512006
HRAŠĆINA	HR8110010051714612004
HRVACE	HR5510010051714812001
HRVATSKA DUBICA	HR8210010051714912007
HRVATSKA KOSTAJNICA	HR7210010051715012000
HUM NA SUTLI	HR0810010051715212002    
HVAR	HR8910010051715312006
ILOK	HR4110010051715412004
IMOTSKI	HR0910010051715512005
IVANEC	HR1510010051715612001
IVANIĆ GRAD	HR1010010051715812008
IVANKOVO	HR7510010051715912009
IVANSKA	HR0610010051716112004
JAGODNJAK	HR2410010051760912003
JAKOVLJE	HR7710010051716312001
JAKŠIĆ	HR0710010051716412007
JALŽABET	HR7210010051716512008
JANJINA	HR3110010051759912001
JARMINA	HR4010010051716612009
JASENICE	HR8410010051716712000
JASENOVAC	HR9510010051716812003
JASTREBARSKO	HR2010010051716912002
JELENJE	HR3110010051717012005
JELSA	HR3710010051717112001
JESENJE	HR0210010051755212000
JOSIPDOL	HR6410010051717212007
KALI	HR3210010051717312008
KALINOVAC	HR6910010051755912007
KALNIK	HR5910010051756012000
KAMANJE	HR8310010051762312009
KANFANAR	HR4410010051717512000
KAPELA	HR5510010051717612003
KAPTOL	HR7710010051717712002
KARLOBAG	HR6110010051717812006
KARLOVAC	HR1310010051717912004
KAROJBA	HR0810010051759612006    
KASTAV	HR2410010051718012007
KAŠTELA	HR8910010051718112008
KAŠTELIR-LABINCI - CASTELLIERE-S.DOMENICA	HR5710010051759712004
KIJEVO	HR0410010051718312000
KISTANJE	HR1510010051718412003
KLAKAR	HR3710010051718512002
KLANA	HR2110010051718612006
KLANJEC	HR7010010051718712004
KLENOVNIK	HR4410010051718912001
KLINČA SELO	HR1710010051719012009
KLIS	HR7210010051719212003
KLOŠTAR IVANIĆ	HR9410010051719312002
KLOŠTAR PODRAVSKI	HR7810010051719412006
KNEŽEVI VINOGRADI	HR3010010051719512004
KNIN	HR9510010051719612005
KOLAN	HR1810010051762212008
KOMIŽA	HR0410010051719712001
KONAVLE	HR3110010051719812007
KONČANICA	HR9610010051719912008
KONJŠČINA	HR0510010051720012004
KOPRIVNICA	HR7010010051720112005
KOPRIVNIČKI BREGI	HR7610010051720212001
KOPRIVNIČKI IVANEC	HR0610010051720312007
KORČULA	HR7110010051720412008
KOSTRENA	HR1810010051753812002
KOŠKA	HR3910010051720512009
KOTORIBA	HR8310010051720612000
KRALJEVEC NA SUTLI	HR1910010051720812002
KRALJEVICA	HR0310010051720912006
KRAPINA	HR6310010051721112007   
KRAPINSKE TOPLICE	HR3110010051721212008
KRAŠIĆ	HR0510010051753312007
KRAVARSKO	HR5310010051754512003
KRIŽ	HR9610010051721312009
KRIŽEVCI	HR4310010051721412000
KRK	HR5410010051721512003
KRNJAK	HR7610010051721612002
KRŠAN	HR6010010051721712006
KUKLJICA	HR5810010051757212005
KULA NORINSKA	HR7710010051721912005
KUMROVEC	HR1310010051755312003
KUTINA	HR8810010051722012008
KUTJEVO	HR5610010051722112009
LABIN	HR0310010051722212000
LANIŠĆE	HR1410010051722312003
LASINJA	HR2010010051722512006
LASTOVO	HR6910010051722612004
LEĆEVICA	HR4210010051758612003
LEGRAD	HR3710010051722712005
LEKENIK	HR4310010051722812001
LEPOGLAVA	HR7010010051722912007
LEVANJSKA VAROŠ	HR6010010051723012000
LIPIK	HR7110010051723112003
LIPOVLJANI	HR9310010051723212002
LIŠANE OSTROVIČKE	HR2910010051723412004
LIŽNJAN - LISIGNANO	HR9410010051723512005
LOBOR	HR0310010051723612001
LOKVE	HR3010010051723712007
LOKVIČIĆI	HR6410010051758712002
LOPAR	HR3010010051762412000   
LOVAS	HR6310010051723912009
LOVINAC	HR4210010051724012006
LOVRAN	HR5910010051724212005
LOVREĆ	HR6510010051724312001
LUDBREG	HR9210010051724412007
LUKA	HR1110010051754812004
LUKAČ	HR6010010051724512008
LUMBARDA	HR9610010051760012002
LUPOGLAV	HR2810010051724612009
LJUBEŠĆICA	HR7210010051724712000
MAČE	HR8310010051724812003
MAGADENOVAC	HR8210010051757812003
MAJUR	HR1910010051755512006
MAKARSKA	HR0810010051724912002
MALA SUBOTICA	HR1910010051725012005
MALI BUKOVEC	HR2510010051725112001
MALI LOŠINJ	HR5210010051725212007
MALINSKA - DUBAŠNICA	HR2010010051725312008
MARČANA	HR8510010051725412009
MARIJA BISTRICA	HR4310010051725612003
MARIJA GORICA	HR0210010051753912006
MARIJANCI	HR6510010051725712002
MARINA	HR4910010051725812006
MARKUŠICA	HR8910010051761012004
MARTIJANEC	HR8410010051708512008
MARTINSKA VES	HR9810010051725912004
MARUŠEVEC	HR1210010051726012007
MATULJI	HR7710010051726112008
MEDULIN	HR8910010051726312000
METKOVIĆ	HR0310010051726412003   
MIHOVLJAN	HR2510010051726512002
MIKLEUŠ	HR0910010051726612006
MILNA	HR5810010051726712004
MLJET	HR2610010051726812005
MOLVE	HR0510010051727012009
MOŠČENIČKA DRAGA	HR8210010051727312002
MOTOVUN - MONTONA	HR6610010051727412006
MRKOPALJ	HR1810010051727512004
MUĆ	HR9610010051708712000
MURSKO SREDIŠĆE	HR8310010051727612005
MURTER – KORNATI	HR8110010051761712003
NAŠICE	HR1910010051727812007
NEDELIŠĆE	HR8410010051727912008
NEGOSLAVCI	HR6310010051761212001
NEREŽIŠĆA	HR2010010051728012003
NETRETIĆ	HR4210010051728112002
NIJEMCI	HR3110010051729512007
NIN	HR2610010051728212006
NOVA BUKOVICA	HR7510010051728312004
NOVA GRADIŠKA	HR4310010051728412005
NOVA KAPELA	HR4910010051728512001
NOVA RAČA	HR4410010051728712008
NOVALJA	HR1210010051728812009
NOVI GOLUBOVEC	HR3510010051755412002
NOVI MAROF	HR5610010051728912000
NOVI VINODOLSKI	HR9410010051729012002
NOVIGRAD	HR9310010051753712003
NOVIGRAD - CITTANOVA	HR7810010051729112006
NOVIGRAD PODRAVSKI	HR3010010051729212004
NOVO VIRJE	HR7010010051756112003   
NOVSKA	HR9510010051729312005
NUŠTAR	HR0410010051729412001
OBROVAC	HR9610010051729612008
OGULIN	HR6410010051729712009
OKRUG	HR4810010051758812006
OKUČANI	HR2210010051729912003
OMIŠ	HR7610010051730012008
OMIŠALJ	HR4410010051730112009
OPATIJA	HR8810010051730212000
OPRISAVCI	HR0210010051730312003
OPRTALJ - PORTOLE	HR2410010051730412002
OPUZEN	HR5710010051730612004
ORAHOVICA	HR2510010051730712005
OREBIĆ	HR3110010051730812001
OREHOVICA	HR3310010051760512007
ORIOVAC	HR5810010051730912007
ORLE	HR3010010051754212008
OROSLAVJE	HR5910010051731112003
OSIJEK	HR8110010051731212002
OTOČAC	HR6510010051731312006
OTOK (Sinj)	HR1710010051731412004
OTOK (Vinkovci)	HR3810010051753512009
OZALJ	HR8210010051731512005
PAG	HR8810010051731612001
PAKOŠTANE	HR1810010051731712007
PAKRAC	HR8310010051731812008
PAŠMAN	HR3010010051732012006
PAZIN	HR7910010051732112004
PERUŠIĆ	HR5310010051732312001
PETERANEC	HR8010010051732412007   
PETLOVAC	HR4810010051732512008
PETRIJANEC	HR1610010051732612009
PETRIJEVCI	HR6010010051732712000
PETRINJA	HR7110010051732812003
PETROVSKO	HR9310010051732912002
PIĆAN	HR0710010051733012005
PIROVAC	HR2410010051758112001
PISAROVINA	HR1310010051733112001
PITOMAČA	HR4010010051733212007
PLAŠKI	HR0810010051733312008
PLETERNICA	HR7310010051733412009
PLITVIČKA JEZERA	HR5010010051745512009
PLOČE	HR2010010051733512000
PODBABLJE	HR5310010051733712002
PODCRKAVLJE	HR3710010051733812006
PODGORA	HR8610010051733912004
PODGORAČ	HR9710010051734012007
PODRAVSKA MOSLAVINA	HR4910010051727112000
PODRAVSKE SESVETE	HR7010010051761612000
PODSTRANA	HR6510010051734112008
PODTUREN	HR3310010051734212009
POJEZERJE	HR7710010051734312000
POKUPSKO	HR4210010051754412000
POLAČA	HR8810010051734412003
POLIČNIK	HR1310010051734512002
POPOVAC	HR9410010051734612006
POPOVAČA	HR4610010051734712004
POREČ - PARENZO	HR1410010051734812005
POSEDARJE	HR2010010051734912001
POSTIRA	HR9010010051735012009   
POVLJANA	HR6410010051757312001
POŽEGA	HR3710010051735112000
PREGRADA	HR4810010051735212003
PREKO	HR5410010051735412006
PRELOG	HR0610010051735512004
PRESEKA	HR7110010051735612005
PRGOMET	HR9710010051758912004
PRIBISLAVEC	HR2310010051762012001
PRIMORSKI DOLAC	HR1110010051759012007
PRIMOŠTEN	HR7710010051735712001
PRIVLAKA (Vukovar)	HR1910010051758312008
PRIVLAKA (Zadar)	HR9110010051757412007
PROLOŽAC	HR1010010051708812003
PROMINA	HR1110010051729812000
PUČIŠĆA	HR0710010051735812007
PULA - POLA	HR7210010051735912008
PUNAT	HR0810010051736012003
PUNITOVCI	HR3010010051736112002
PUŠĆA	HR1410010051736212006
RAB	HR6310010051736312004
RADOBOJ	HR3110010051736412005
RAKOVEC	HR8210010051753612000
RAKOVICA	HR3710010051736512001
RASINJA	HR6410010051736612007
RAŠA	HR9710010051736812009
RAVNA GORA	HR4410010051736912000
RAŽANAC	HR6610010051737112006
REŠETARI	HR1810010051737212004
RIBNIK	HR6810010051755612004
RIJEKA	HR8310010051737312005   
ROGOZNICA	HR5110010051758212007
ROVINJ - ROVIGNO	HR8910010051737412001
ROVIŠĆE	HR1910010051737512007
RUGVICA	HR8410010051737612008
RUNOVIĆI	HR7610010051759112008
RUŽIĆ	HR5210010051737712009
SABORSKO	HR9610010051737812000
SALI	HR1010010051737912003
SAMOBOR	HR7510010051738012004
SATNICA ĐAKOVAČKA	HR4310010051738112005
SEGET	HR4910010051738212001
SELCA	HR7610010051738312007
SELNICA	HR1210010051738512009
SEMELJCI	HR5610010051738612000
SENJ	HR6710010051738712003
SEVERIN	HR9210010051756212002
SIBINJ	HR8910010051738812002
SIKIREVCI	HR4110010051757012006
SINJ	HR7310010051738912006
SIRAČ	HR0910010051739012001
SISAK	HR3610010051739112007
SKRAD	HR6910010051739312009
SKRADIN	HR1610010051739412000
SLATINA	HR2710010051739512003
SLAVONSKI BROD	HR4910010051739612002
SLAVONSKI ŠAMAC	HR3310010051739712006
SLIVNO	HR5010010051739912005
SLUNJ	HR4510010051740012005
SMOKVICA	HR7810010051740212007
SOKOLOVAC	HR5810010051740512000   

SOLIN	HR6910010051740612003
SOPJE	HR9110010051740712002
SPLIT	HR2710010051740912004
SRAČINEC	HR3810010051741012007
STANKOVCI	HR0610010051741112008
STARA GRADIŠKA	HR7110010051741212009
STARI GRAD	HR1810010051741312000
STARI JANKOVCI	HR2910010051741412003
STARI MIKANOVCI	HR5110010051741512002
STARIGRAD	HR3510010051741612006
STARO PETROVO SELO	HR5210010051741812005
STON	HR5810010051741912001
STRAHONINEC	HR9810010051760612008
STRIZIVOJNA	HR7510010051742112000
STUBIČKE TOPLICE	HR8610010051742212003
STUPNIK	HR5510010051755112009
SUĆURAJ	HR1110010051742312002
SUHOPOLJE	HR9210010051742412006
SUKOŠAN	HR4410010051742512004
SUNJA	HR1210010051742612005
SUPETAR	HR1810010051742712001
SUTIVAN	HR4410010051759212009
SVETA MARIJA	HR6610010051760712009
SVETA NEDELJA (Labin)	HR5210010051743212006
SVETA NEDELJA (Samobor)	HR0510010051743612007
SVETI ĐURĐ	HR7010010051743712008
SVETI FILIP I JAKOV	HR4510010051742812007
SVETI ILIJA	HR3810010051743812009
SVETI IVAN ZELINA	HR1310010051742912008
SVETI IVAN ŽABNO	HR8210010051743912000   
SVETI JURAJ NA BREGU	HR2310010051744012002
SVETI KRIŽ ZAČRETJE	HR4610010051743012003
SVETI LOVREČ	HR6810010051743112002
SVETI MARTIN NA MURI	HR0710010051744112006
SVETI PETAR OREHOVEC	HR5610010051744212004
SVETI PETAR U ŠUMI	HR0410010051743312004
SVETVINČENAT	HR7510010051743512001
ŠANDROVAC	HR2810010051756412004
ŠENKOVEC	HR1310010051760812000
ŠESTANOVAC	HR2410010051744312005
ŠIBENIK	HR3010010051744412001
ŠKABRNJA	HR5710010051744512007
ŠODOLOVCI	HR5810010051761412008
ŠOLTA	HR9010010051744712009
ŠPIŠIĆ BUKOVICA	HR4810010051744912003
ŠTEFANJE	HR1610010051745012004
ŠTITAR	HR9610010051762812004
ŠTRIGOVA	HR8710010051745212001
TAR-VABRIGA - TORRE-ABREGA	HR4310010051763112009
TINJAN	HR1710010051745312007
TISNO	HR8210010051745412008
TKON	HR5910010051757512008
TOMPOJEVCI	HR9410010051745612000
TOPUSKO	HR0810010051745712003
TORDINCI	HR3010010051745812002
TOUNJ	HR3610010051755712005
TOVARNIK	HR1410010051745912006
TRIBUNJ	HR6310010051762612002
TRILJ	HR4710010051746012001
TRNAVA	HR7410010051746112007   
TRNOVEC BARTOLOVEČKI	HR4210010051746212008
TROGIR	HR1010010051746312009
TRPANJ	HR8010010051760112006
TRPINJA	HR5410010051746412000
TUČEPI	HR8810010051759312000
TUHELJ	HR8710010051746612002
UDBINA	HR7110010051746712006
UMAG - UMAGO	HR2310010051746812004
UNEŠIĆ	HR8810010051746912005
VALPOVO	HR6710010051747112009
VARAŽDIN	HR1410010051747212000
VARAŽDINSKE TOPLICE	HR2510010051747312003
VELA LUKA	HR4710010051747412002
VELIKA	HR3110010051747512006
VELIKA GORICA	HR6210010051754112007
VELIKA KOPANICA	HR8010010051747612004
VELIKA LUDINA	HR4810010051747712005
VELIKA PISANICA	HR5410010051747812001
VELIKA TRNOVITICA	HR9310010051756512005
VELIKI BUKOVEC	HR4210010051755812001
VELIKI GRĐEVAC	HR7110010051748012000
VELIKO TRGOVIŠĆE	HR8210010051748112003
VELIKO TROJSTVO	HR8810010051748312006
VIDOVEC	HR4010010051748412004
VILJEVO	HR0810010051748512005
VINICA	HR1410010051748612001
VINKOVCI	HR4110010051748712007
VINODOLSKA OPĆINA	HR0910010051748812008
VIR	HR7410010051748912009
VIRJE	HR5310010051749012006   
VIROVITICA	HR0510010051749112004
VIS	HR7010010051749212005
VISOKO	HR7610010051749312001
VIŠKOVCI	HR0610010051749412007
VIŠKOVO	HR7110010051749512008
VIŠNJAN - VISIGNANO	HR8310010051749712000
VIŽINADA - VISINADA	HR9410010051749812003
VLADISLAVCI	HR0710010051757912002
VOĆIN	HR1910010051749912002
VODICE	HR1910010051750012009
VODNJAN - DIGNANO	HR7410010051750212003
VOĐINCI	HR8410010051758412009
VOJNIĆ	HR9610010051750312002
VRATIŠINEC	HR8010010051750412006
VRBANJA	HR3210010051750512004
VRBJE	HR9710010051750612005
VRBNIK	HR0610010051750712001
VRBOVEC	HR3310010051750812007
VRBOVSKO	HR9810010051750912008
VRGORAC	HR5610010051751112002
VRHOVINE	HR4010010051751212006
VRLIKA	HR8910010051751312004
VRPOLJE	HR5710010051751412005
VRSAR - ORSERA	HR9010010051751612007
VRSI	HR4110010051762512003
VUKA	HR5810010051751712008
VUKOVAR	HR2610010051751812009
ZABOK	HR7010010051751912000
ZADAR	HR1110010051752012002
ZADVARJE	HR2410010051759512002   
ZAGORSKA SELA	HR9210010051752112006
ZAGREB	HR1110010051713312009
ZAGVOZD	HR4410010051752212004
ZAPREŠIĆ	HR9510010051754312009
ZAŽABLJE	HR1210010051752312005
ZDENCI	HR1810010051752412001
ZEMUNIK DONJI	HR4510010051752512007
ZLATAR	HR1310010051752612008
ZLATAR BISTRICA	HR7810010051752712009
ZMIJAVCI	HR2510010051752812000
ZRINSKI TOPOLOVAC	HR0210010051756612001
ŽAKANJE	HR0410010051753012004
ŽMINJ	HR6910010051753112005
ŽUMBERAK	HR3510010051754012001
ŽUPA DUBROVAČKA	HR3210010051760212004
ŽUPANJA	HR7010010051753412008
